央视频道,#genre#
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV8,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV9,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV14,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV15,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV17,http://z.b.bkpcp.top/m.php?id=cctv17
CCTV发现之旅,http://z.b.bkpcp.top/m.php?id=fxzl
CGTN,http://z.b.bkpcp.top/m.php?id=cgtn
CCTV西班牙语,http://z.b.bkpcp.top/m.php?id=cgtne
CCTV法语,http://z.b.bkpcp.top/m.php?id=cgtnf
CCTV阿拉伯语,http://z.b.bkpcp.top/m.php?id=cgtna
CCTV俄语,http://z.b.bkpcp.top/m.php?id=cgtnr
CETV 2 中国教育,http://z.b.bkpcp.top/m.php?id=cetv2
CETV 4 中国教育,http://z.b.bkpcp.top/m.php?id=cetv4
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws
东方卫视,http://z.b.bkpcp.top/m.php?id=dfws
陕西卫视,http://z.b.bkpcp.top/m.php?id=sxws
江西卫视,http://z.b.bkpcp.top/m.php?id=jxws
河南卫视,http://z.b.bkpcp.top/m.php?id=hnws
大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws
广东影视,http://z.b.bkpcp.top/m.php?id=gdys
上海新闻综合,http://z.b.bkpcp.top/m.php?id=shxw
上海东方影视,http://z.b.bkpcp.top/m.php?id=shys
SiTV 劲爆体育,http://z.b.bkpcp.top/m.php?id=jbty
SiTV 魅力足球,http://z.b.bkpcp.top/m.php?id=mlzq
SiTV 游戏风云,http://z.b.bkpcp.top/m.php?id=yxfy
SiTV 乐游,http://z.b.bkpcp.top/m.php?id=ly
欢笑剧场,http://z.b.bkpcp.top/m.php?id=hxjc
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344
CCTV4,https://www.freetv.top/migu/631780421.m3u8?migutoken=fefc6a44400a0dd448699ae0ce3d6e2c5a0f49b8d48adb36e747c4fbab039337eb3244f9951acbddaf26b7bf51597a7d1b43c8845e67fd5914ece875dcad325bb388200bc0f12fdff727d03e2d
CCTV5,https://www.freetv.top/migu/641886683.m3u8?migutoken=3e5c01f93922de8d1c940fe15bb47349b27e8f7a2e624dde1a83dff3b2a80f58b7624151a3a4d00488edee34f202818557340903382fae02bb754084eb942bd50e59061df36fab62fb5b908903
CCTV5+,https://www.freetv.top/migu/641886773.m3u8?migutoken=03a1b82e35e58cd89a95034ecb29e77e50493397000ec2b1e4d1ce59af01e6420d6dbc068c8230ec03be3a35a20eed8714e0959e3570a08713a7a2e8d86085eabf8f1aa85744c80c38343988b2
CCTV8,https://www.freetv.top/migu/624878356.m3u8?migutoken=170b73b07e0cf0d307afea3545da5b9609d7c15461a2f4ac0f43634101df9baf391a446b91e5f84446b6a3b0934bb4730e2f3c4a32a565f904f22c8ff745a094d45dfd49c54f31b0b78156a080
CCTV9,https://www.freetv.top/migu/673168140.m3u8?migutoken=749c49cdc31bb395e0349adc81010adc8707f80e51e9d3491ad67bfa71388ad768f7b52c8064338a7ef45eb7ddb192fb4937b21681c82499a0c16653ad9a9bec98ff5ce6ab183e4029bbdf269e
CCTV12,https://www.freetv.top/migu/673168185.m3u8?migutoken=37acadb43b1d7932b0a1e8a4f2d01a06b42a10c31f3ccb417bae200ac3028f30a8110509f2cd6cd130aee4b21c85693aa49817f3381e4d28e140d8db1a20b6fecea22fec17a70ff1341efe6081
CCTV13,https://www.freetv.top/migu/608807423.m3u8?migutoken=ac19a58805588401a8e818b6dd00df9b327912af3611ba95f89235e7020821668a2b6dc65ccc3904967da59d0a9742565c56ea582baf8915d068035054818ef0f369dab64705a6a7f7120529ec
CCTV14,https://www.freetv.top/migu/624878440.m3u8?migutoken=239edad94ac0bbff14f123c7f8996ed7639110bd6cf64ec8ba8cf85842224956d452ec8b683385cb27f8a7685224a03e3aa4d914b8fe33249da9df699351b105c795452d03f2be0a1f1e39adb0
